Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_RUCA_Desc,Total_Providers,Total_Beneficiaries,Avg_Allowed_Amt,Opportunity_Index
GA,"Metropolitan area low commuting: primary flow 10% to <30% to a urbanized area of 50,000 and greater",1,22,113.31074405,135.31074404999998
GA,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",29,1268,267.85193896701753,52.960411688517844
GA,"Micropolitan low commuting: primary flow 10% to <30% to a urban cluster of 10,000 to 49,999",1,144,142.2882947115,286.2882947115
GA,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",1,187,146.82089552480002,333.8208955248
GA,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",6,386,250.28839306485716,106.04806551080952
GA,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",4,444,279.4072729379091,180.85181823447726
GU,Unknown,2,57,301.2798234433333,179.13991172166666
HI,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3,57,304.802351514,120.600783838
HI,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",1,34,557.842777775,591.842777775
HI,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1,25,291.46629902,316.46629902
IA,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",88,6236,185.60149136693818,72.97274422007884
IA,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",14,498,102.47409277822221,42.89100662701588
IA,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",1,19,25.283225806,44.283225806000004
IA,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",1,91,104.91846232500001,195.918462325
IA,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",4,169,37.32146981425,51.5803674535625
ID,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",52,2654,160.11762156626318,54.11764656858198
ID,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",12,511,237.34005981595237,62.36167165132937
ID,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",13,786,218.6290722588889,77.2791594045299
ID,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",1,27,21.77,48.769999999999996
IL,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",395,31287,214.86541290828265,79.75155800736275
IL,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5,92,55.6759689124,29.53519378248
IL,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",20,1666,173.13947752965,91.95697387648251
IL,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",3,321,298.77440176162503,206.59146725387504
IL,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",5,252,219.14368738211112,94.22873747642222
IL,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",4,82,104.05564359,46.5139108975
IN,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",251,13636,213.81296548443763,55.17853771109338
IN,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",15,545,124.2291193150909,44.61527462100606
IN,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",1,45,107.40688889,152.40688889
IN,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",2,152,224.64516770333333,188.32258385166665
IN,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",2,133,113.32843198325,123.164215991625
KS,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",123,6131,156.74170577932568,51.11985126649858
KS,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",3,335,116.05336684071429,150.3511222802381
KS,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",21,1322,189.57101230848485,71.97957201468975
KY,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",106,12558,263.4884852391604,120.95743853999208
KY,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",1,31,88.541501976,119.541501976
KY,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",33,2746,238.3039251792963,90.43345227816049
KY,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",10,239,75.44910795700001,31.444910795700004
KY,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",4,263,242.2263140139091,126.30657850347728
LA,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",156,13217,209.02098526631565,86.06423708504049
LA,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",1,86,285.0320153025,371.0320153025
LA,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",7,528,213.68204340647367,105.95457762949624
LA,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",1,115,645.22154701,760.22154701
LA,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",12,767,237.40732048603573,83.70061004050298
MA,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",263,17111,180.11355109402643,65.7456789014982
MA,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",1,131,110.24903955,241.24903955000002
MA,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1,21,122.72,143.72
MD,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",192,14533,279.9102796785727,77.1505743733259
MD,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",20,1549,347.3769700075909,94.81884850037954
MD,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",7,864,278.5626100898571,163.22323001283672
MD,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",20,1696,306.8520901132245,100.14260450566123
MD,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",1,210,125.281186416,335.28118641599997
ME,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",33,1821,168.6143322400714,60.291343401214284
ME,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",2,166,184.432639001,175.2163195005
ME,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",3,71,79.32876923079999,50.1095897436
MI,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",240,12678,241.44434610878113,53.83101810878659
MI,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",3,234,137.9285405956,123.97618019853333
MI,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",34,1530,195.41261890201693,50.74742996770638
MI,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",3,54,42.09865447466667,32.03288482488889
MI,"Secondary flow 30% to <50% to a urban cluster of 10,000 to 49,999",1,11,63.252857143,74.252857143
MI,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",8,493,251.5756330867,93.0719541358375
MN,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",222,10856,191.0109282110204,49.76131048743703
MN,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",3,67,56.52390804666667,41.174636015555556
MN,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",15,807,236.74515090845713,69.58301006056381
MN,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",7,177,39.18730612242857,30.88390087463265
MN,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",4,166,80.0665350876,61.516633771900004
MO,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",218,12155,153.513300566661,56.4610701860856
MO,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",10,770,226.67868005176666,99.66786800517666
MO,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",15,936,143.33861224413334,71.95590748294222
MO,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",2,51,128.73467171766666,89.86733585883333
MO,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",2,61,111.37357142766666,86.18678571383333
MO,"Small town low commuting: primary flow 10% to <30% to a urban cluster of 2,500 to 9,999",1,92,96.164169884,188.164169884
