Rndrng_Prvdr_State_Abrvtn,Place_Of_Srvc,Rndrng_Prvdr_RUCA_Desc,Total_Beneficiaries,Unique_Providers,Provider_Density
WA,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",33,2,0.06060606060606061
WA,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",167,2,0.011976047904191617
WI,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",9306,182,0.01955727487642381
WI,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",17,1,0.058823529411764705
WI,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",949,17,0.01791359325605901
WI,F,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",67,2,0.029850746268656716
WI,F,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",432,7,0.016203703703703703
WI,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",38,1,0.02631578947368421
WI,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",4574,71,0.015522518583296896
WI,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",378,4,0.010582010582010581
WI,O,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",243,4,0.01646090534979424
WI,O,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",104,2,0.019230769230769232
WV,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2834,32,0.011291460832745237
WV,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",841,4,0.0047562425683709865
WV,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",917,7,0.007633587786259542
WV,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",62,1,0.016129032258064516
WY,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",451,6,0.013303769401330377
WY,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",167,7,0.041916167664670656
WY,F,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",41,1,0.024390243902439025
WY,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",88,4,0.045454545454545456
WY,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",18,1,0.05555555555555555
WY,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",143,4,0.027972027972027972
WY,O,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",48,1,0.020833333333333332
