Rndrng_Prvdr_State_Abrvtn,Place_Of_Srvc,Rndrng_Prvdr_RUCA_Desc_Urban,Total_Beneficiaries_Urban,Unique_Providers_Urban,Provider_Density_Urban,Urban_Rural_Urban,Rndrng_Prvdr_RUCA_Desc_Rural,Total_Beneficiaries_Rural,Unique_Providers_Rural,Provider_Density_Rural,Urban_Rural_Rural,Gap_Ratio,Urban_Patients,Rural_Patients,Urban_Providers,Rural_Providers,Urban_Patients_per_Provider,Rural_Patients_per_Provider
AR,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",123,1,0.008130081300813009,Urban,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",31.0,1.0,0.03225806451612903,Rural,0.2520325203252033,123,31.0,1,1.0,123.0,31.0
AR,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1078,15,0.013914656771799629,Urban,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",72.0,1.0,0.013888888888888888,Rural,1.0018552875695734,1078,72.0,15,1.0,71.86666666666666,72.0
AR,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1078,15,0.013914656771799629,Urban,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",124.0,1.0,0.008064516129032258,Rural,1.725417439703154,1078,124.0,15,1.0,71.86666666666666,124.0
AR,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1078,15,0.013914656771799629,Urban,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",31.0,1.0,0.03225806451612903,Rural,0.4313543599257885,1078,31.0,15,1.0,71.86666666666666,31.0
AR,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5974,41,0.006863073317710077,Urban,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",97.0,2.0,0.020618556701030927,Rural,0.3328590559089387,5974,97.0,41,2.0,145.70731707317074,48.5
AR,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",295,1,0.003389830508474576,Urban,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",97.0,2.0,0.020618556701030927,Rural,0.16440677966101694,295,97.0,1,2.0,295.0,48.5
AZ,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",16228,138,0.008503820557061868,Urban,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",132.0,1.0,0.007575757575757576,Rural,1.1225043135321664,16228,132.0,138,1.0,117.59420289855072,132.0
AZ,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",197,2,0.01015228426395939,Urban,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",132.0,1.0,0.007575757575757576,Rural,1.3401015228426394,197,132.0,2,1.0,98.5,132.0
AZ,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",330,8,0.024242424242424242,Urban,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",132.0,1.0,0.007575757575757576,Rural,3.1999999999999997,330,132.0,8,1.0,41.25,132.0
AZ,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",33938,203,0.005981495668572102,Urban,0,0.0,0.0,0.0,0,inf,33938,0.0,203,0.0,167.1822660098522,inf
AZ,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",704,4,0.005681818181818182,Urban,0,0.0,0.0,0.0,0,inf,704,0.0,4,0.0,176.0,inf
AZ,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",109,2,0.01834862385321101,Urban,0,0.0,0.0,0.0,0,inf,109,0.0,2,0.0,54.5,inf
AZ,O,"Secondary flow 30% to <50% to a urban cluster of 10,000 to 49,999",552,2,0.0036231884057971015,Urban,0,0.0,0.0,0.0,0,inf,552,0.0,2,0.0,276.0,inf
CA,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",37024,509,0.013747839239412273,Urban,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",55.0,3.0,0.05454545454545454,Rural,0.252043719389225,37024,55.0,509,3.0,72.73870333988212,18.333333333333332
CA,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",407,9,0.022113022113022112,Urban,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",55.0,3.0,0.05454545454545454,Rural,0.40540540540540543,407,55.0,9,3.0,45.22222222222222,18.333333333333332
CA,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",609,7,0.011494252873563218,Urban,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",55.0,3.0,0.05454545454545454,Rural,0.210727969348659,609,55.0,7,3.0,87.0,18.333333333333332
CA,F,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",748,12,0.016042780748663103,Urban,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",55.0,3.0,0.05454545454545454,Rural,0.2941176470588236,748,55.0,12,3.0,62.333333333333336,18.333333333333332
CA,F,"Secondary flow 30% to <50% to a urban cluster of 10,000 to 49,999",38,2,0.05263157894736842,Urban,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",55.0,3.0,0.05454545454545454,Rural,0.9649122807017544,38,55.0,2,3.0,19.0,18.333333333333332
