Rndrng_Prvdr_State_Abrvtn,Place_Of_Srvc,Rndrng_Prvdr_RUCA_Desc,Total_Services,Drug_Services,Total_Beneficiaries,Unique_Providers,Drug_Service_Pct,Provider_Density,Urban_Rural
CO,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",8818,0,7090,108,0.0,0.015232722143864598,Urban
CO,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",29,0,28,1,0.0,0.03571428571428571,Urban
CO,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",411,0,336,8,0.0,0.023809523809523808,Urban
CO,F,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",136,0,127,3,0.0,0.023622047244094488,Rural
CO,F,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",24,0,24,1,0.0,0.041666666666666664,Rural
CO,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",111,0,105,1,0.0,0.009523809523809525,Rural
CO,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5860,0,5677,50,0.0,0.008807468733485996,Urban
CO,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",26,0,26,1,0.0,0.038461538461538464,Urban
CO,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",505,0,494,8,0.0,0.016194331983805668,Urban
CO,O,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",95,0,94,3,0.0,0.031914893617021274,Rural
CO,O,"Small town high commuting: primary flow 30% or more to a urban cluster of 2,500 to 9,999",125,0,37,2,0.0,0.05405405405405406,Rural
CT,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2707,0,1944,34,0.0,0.01748971193415638,Urban
CT,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3841,0,3749,58,0.0,0.015470792211256334,Urban
CT,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",150,0,150,5,0.0,0.03333333333333333,Urban
CT,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",36,0,36,1,0.0,0.027777777777777776,Urban
DC,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",446,0,414,11,0.0,0.026570048309178744,Urban
DC,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",292,0,232,5,0.0,0.021551724137931036,Urban
DE,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1974,0,1728,19,0.0,0.01099537037037037,Urban
DE,F,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",219,0,199,2,0.0,0.010050251256281407,Rural
DE,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",223,0,163,1,0.0,0.006134969325153374,Rural
DE,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3000,0,2378,22,0.0,0.009251471825063078,Urban
DE,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",289,0,224,2,0.0,0.008928571428571428,Urban
DE,O,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",17,0,17,1,0.0,0.058823529411764705,Rural
DE,O,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",32,0,32,1,0.0,0.03125,Rural
FL,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",45296,0,36403,382,0.0,0.01049364063401368,Urban
FL,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",830,0,743,7,0.0,0.009421265141318977,Urban
FL,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",73,0,72,1,0.0,0.013888888888888888,Urban
FL,F,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",1592,0,1321,8,0.0,0.006056018168054504,Urban
FL,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",82740,0,78834,553,0.0,0.007014739833066951,Urban
FL,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",1590,0,1586,22,0.0,0.013871374527112233,Urban
FL,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",318,0,266,4,0.0,0.015037593984962405,Urban
FL,O,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",3932,0,3624,21,0.0,0.005794701986754967,Urban
FL,O,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",359,0,359,3,0.0,0.008356545961002786,
FL,O,"Small town low commuting: primary flow 10% to <30% to a urban cluster of 2,500 to 9,999",156,0,156,2,0.0,0.01282051282051282,Rural
GA,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",32087,0,25753,268,0.0,0.010406554576165884,Urban
GA,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",155,0,93,2,0.0,0.021505376344086023,Urban
GA,F,"Metropolitan area low commuting: primary flow 10% to <30% to a urbanized area of 50,000 and greater",53,0,42,1,0.0,0.023809523809523808,Urban
GA,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",925,0,810,17,0.0,0.020987654320987655,Urban
GA,F,"Micropolitan low commuting: primary flow 10% to <30% to a urban cluster of 10,000 to 49,999",201,0,193,1,0.0,0.0051813471502590676,Rural
GA,F,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",276,0,276,1,0.0,0.0036231884057971015,Rural
GA,F,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",467,0,357,4,0.0,0.011204481792717087,
GA,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",482,0,394,2,0.0,0.005076142131979695,Rural
GA,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",17789,0,17528,143,0.0,0.008158375171154723,Urban
GA,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",1459,0,1445,12,0.0,0.008304498269896194,Urban
GA,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",853,0,843,14,0.0,0.0166073546856465,Urban
GA,O,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",99,0,99,3,0.0,0.030303030303030304,
GA,O,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",368,0,368,2,0.0,0.005434782608695652,Rural
GU,O,"""Rural""",64,0,64,2,0.0,0.03125,
HI,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",58,0,50,2,0.0,0.04,Urban
HI,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",15,0,15,1,0.0,0.06666666666666667,Urban
HI,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",36,0,36,1,0.0,0.027777777777777776,Urban
HI,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",29,0,29,1,0.0,0.034482758620689655,Urban
IA,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",4737,0,4168,53,0.0,0.012715930902111325,Urban
IA,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",905,0,691,14,0.0,0.020260492040520984,Urban
IA,F,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",31,0,31,1,0.0,0.03225806451612903,Rural
IA,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",265,0,183,4,0.0,0.02185792349726776,Rural
IA,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3521,0,3453,46,0.0,0.01332174920359108,Urban
IA,O,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",631,0,569,1,0.0,0.0017574692442882249,
ID,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2008,0,1710,38,0.0,0.022222222222222223,Urban
ID,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",624,0,543,11,0.0,0.020257826887661142,Urban
ID,F,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",607,0,519,10,0.0,0.019267822736030827,Urban
ID,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",27,0,27,1,0.0,0.037037037037037035,Rural
ID,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1404,0,1404,15,0.0,0.010683760683760684,Urban
ID,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",98,0,98,3,0.0,0.030612244897959183,Urban
ID,O,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",610,0,601,3,0.0,0.004991680532445923,Urban
IL,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",13847,0,12425,204,0.0,0.01641851106639839,Urban
IL,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",17,0,17,1,0.0,0.058823529411764705,Urban
IL,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1389,0,1370,12,0.0,0.008759124087591242,Urban
IL,F,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",19,0,19,1,0.0,0.05263157894736842,
IL,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",64,0,64,3,0.0,0.046875,Rural
IL,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",51820,0,51510,211,0.0,0.004096291982139391,Urban
IL,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",265,0,265,4,0.0,0.01509433962264151,Urban
IL,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1325,0,842,9,0.0,0.010688836104513063,Urban
IL,O,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",493,0,493,3,0.0,0.006085192697768763,Urban
IL,O,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",305,0,305,4,0.0,0.013114754098360656,
IL,O,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",52,0,37,1,0.0,0.02702702702702703,Rural
IN,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",12906,0,11341,196,0.0,0.0172824265937748,Urban
IN,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",566,0,540,12,0.0,0.022222222222222223,Urban
IN,F,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",211,0,207,1,0.0,0.004830917874396135,
