Rndrng_Prvdr_State_Abrvtn,Place_Of_Srvc,Rndrng_Prvdr_RUCA_Desc,Total_Services,Drug_Services,Total_Beneficiaries,Unique_Providers,Drug_Service_Pct,Provider_Density,Urban_Rural
MT,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1634,0,1426,24,0.0,0.016830294530154277,Urban
MT,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",672,0,618,14,0.0,0.022653721682847898,Urban
MT,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",192,0,192,1,0.0,0.005208333333333333,Rural
MT,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",335,0,335,5,0.0,0.014925373134328358,Urban
MT,O,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",40,0,40,1,0.0,0.025,Rural
NC,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",7108,0,6748,122,0.0,0.018079430942501484,Urban
NC,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",511,0,428,12,0.0,0.028037383177570093,Urban
NC,F,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",22,0,22,1,0.0,0.045454545454545456,Rural
NC,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",231,0,231,1,0.0,0.004329004329004329,Rural
NC,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",23642,0,22943,188,0.0,0.008194220459399382,Urban
NC,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",1701,0,1634,5,0.0,0.0030599755201958386,Urban
NC,O,"Metropolitan area low commuting: primary flow 10% to <30% to a urbanized area of 50,000 and greater",522,0,381,2,0.0,0.005249343832020997,Urban
NC,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",3960,0,3599,40,0.0,0.011114198388441235,Urban
NC,O,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",64,0,64,1,0.0,0.015625,Rural
NC,O,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",686,0,684,3,0.0,0.0043859649122807015,Rural
NC,O,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",769,0,731,2,0.0,0.0027359781121751026,Rural
ND,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1484,0,1424,22,0.0,0.01544943820224719,Urban
ND,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",58,0,58,3,0.0,0.05172413793103448,Urban
ND,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",323,0,323,3,0.0,0.009287925696594427,Urban
ND,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",127,0,127,2,0.0,0.015748031496062992,Urban
NE,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3756,0,2774,49,0.0,0.017664023071377072,Urban
NE,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1160,0,982,20,0.0,0.020366598778004074,Urban
NE,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",6402,0,5939,36,0.0,0.006061626536453949,Urban
NE,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",242,0,108,2,0.0,0.018518518518518517,Urban
NH,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1735,0,1637,33,0.0,0.020158827122785584,Urban
NH,F,"Metropolitan area low commuting: primary flow 10% to <30% to a urbanized area of 50,000 and greater",505,0,503,3,0.0,0.005964214711729622,Urban
NH,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1687,0,1681,24,0.0,0.014277215942891136,Urban
NH,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",63,0,63,1,0.0,0.015873015873015872,Rural
NH,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3779,0,2732,29,0.0,0.01061493411420205,Urban
NH,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",709,0,709,14,0.0,0.019746121297602257,Urban
NH,O,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",106,0,106,1,0.0,0.009433962264150943,Rural
NJ,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",9348,0,7713,162,0.0,0.021003500583430573,Urban
NJ,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",182,0,157,2,0.0,0.012738853503184714,Urban
NJ,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",89,0,89,2,0.0,0.02247191011235955,Urban
NJ,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",17940,0,17255,132,0.0,0.007649956534337873,Urban
NJ,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",175,0,170,2,0.0,0.011764705882352941,Urban
NJ,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",28,0,28,1,0.0,0.03571428571428571,Urban
NM,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2743,0,2281,24,0.0,0.01052170100832968,Urban
NM,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",382,0,371,4,0.0,0.01078167115902965,Urban
NM,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3171,0,2896,29,0.0,0.010013812154696133,Urban
NM,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",50,0,49,1,0.0,0.02040816326530612,Urban
NV,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",6366,0,5140,66,0.0,0.012840466926070038,Urban
NV,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",22,0,14,1,0.0,0.07142857142857142,Urban
NV,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",4591,0,4141,56,0.0,0.013523303549867182,Urban
NV,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",60,0,60,2,0.0,0.03333333333333333,Urban
NY,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",13098,0,11570,168,0.0,0.014520311149524633,Urban
NY,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",45,0,41,1,0.0,0.024390243902439025,Urban
NY,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1145,0,1037,18,0.0,0.017357762777242044,Urban
NY,F,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",307,0,307,2,0.0,0.006514657980456026,Urban
NY,F,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",232,0,218,4,0.0,0.01834862385321101,
NY,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",48,0,48,3,0.0,0.0625,Rural
NY,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",43660,0,42772,294,0.0,0.006873655662582998,Urban
NY,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",22,0,22,1,0.0,0.045454545454545456,Urban
NY,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",19,0,19,1,0.0,0.05263157894736842,Urban
NY,O,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",239,0,236,4,0.0,0.01694915254237288,Rural
NY,O,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",76,0,76,1,0.0,0.013157894736842105,Urban
NY,O,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",250,0,250,2,0.0,0.008,
NY,O,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",81,0,81,3,0.0,0.037037037037037035,Rural
OH,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",12581,0,11681,197,0.0,0.016864994435407926,Urban
OH,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",24,0,24,1,0.0,0.041666666666666664,Urban
OH,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",4644,0,4456,35,0.0,0.007854578096947935,Urban
OH,F,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",71,0,71,2,0.0,0.028169014084507043,Urban
OH,F,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",107,0,107,3,0.0,0.028037383177570093,
OH,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",323,0,323,9,0.0,0.02786377708978328,Rural
OH,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",15594,0,14864,127,0.0,0.008544133476856836,Urban
OH,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",178,0,178,1,0.0,0.0056179775280898875,Urban
OH,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1067,0,1051,5,0.0,0.004757373929590866,Urban
OH,O,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",507,0,506,4,0.0,0.007905138339920948,Urban
OH,O,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",78,0,78,1,0.0,0.01282051282051282,Rural
OK,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",9571,0,6842,77,0.0,0.011254019292604502,Urban
OK,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",557,0,509,11,0.0,0.021611001964636542,Urban
OK,F,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",132,0,121,6,0.0,0.049586776859504134,Urban
OK,F,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",39,0,39,1,0.0,0.02564102564102564,
OK,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",15,0,15,1,0.0,0.06666666666666667,Rural
OK,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",11082,0,9843,59,0.0,0.005994107487554607,Urban
OK,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",723,0,681,5,0.0,0.007342143906020558,Urban
OK,O,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",425,0,425,5,0.0,0.011764705882352941,Urban
OR,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",6529,0,5509,76,0.0,0.01379560718823743,Urban
OR,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",380,0,248,8,0.0,0.03225806451612903,Urban
OR,F,"Secondary flow 30% to <50% to a urban cluster of 10,000 to 49,999",291,0,290,1,0.0,0.0034482758620689655,Urban
OR,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",4055,0,3633,62,0.0,0.01706578585191302,Urban
OR,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",29,0,29,1,0.0,0.034482758620689655,Urban
OR,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",506,0,356,4,0.0,0.011235955056179775,Urban
OR,O,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",86,0,86,1,0.0,0.011627906976744186,
PA,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",15794,0,13633,257,0.0,0.018851316658109,Urban
PA,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",289,0,265,8,0.0,0.03018867924528302,Urban
PA,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",2623,0,1197,21,0.0,0.017543859649122806,Urban
PA,F,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",295,0,261,3,0.0,0.011494252873563218,Rural
PA,F,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",30,0,30,1,0.0,0.03333333333333333,Urban
PA,F,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",72,0,30,1,0.0,0.03333333333333333,
PA,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",152,0,118,2,0.0,0.01694915254237288,Rural
PA,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",12960,0,11873,148,0.0,0.012465257306493725,Urban
PA,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",2217,0,2141,4,0.0,0.0018682858477347033,Urban
PA,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",371,0,300,7,0.0,0.023333333333333334,Urban
PA,O,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",358,0,302,1,0.0,0.0033112582781456954,Rural
PA,O,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",53,0,53,1,0.0,0.018867924528301886,Rural
PR,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3291,0,3251,6,0.0,0.001845585973546601,Urban
RI,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1197,0,1042,15,0.0,0.014395393474088292,Urban
RI,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",449,0,395,12,0.0,0.030379746835443037,Urban
SC,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",6554,0,5373,68,0.0,0.012655871952354365,Urban
SC,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",266,0,264,6,0.0,0.022727272727272728,Urban
SC,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",455,0,442,11,0.0,0.024886877828054297,Urban
SC,F,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",95,0,66,2,0.0,0.030303030303030304,Rural
SC,F,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",15,0,15,1,0.0,0.06666666666666667,Urban
SC,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",22,0,22,1,0.0,0.045454545454545456,Rural
SC,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",18191,0,16894,114,0.0,0.006747957854859713,Urban
SC,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",3539,0,3539,8,0.0,0.0022605255721955355,Urban
SC,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1244,0,1120,7,0.0,0.00625,Urban
SC,O,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",23,0,23,1,0.0,0.043478260869565216,Rural
SC,O,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",429,0,422,2,0.0,0.004739336492890996,Urban
SC,O,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",274,0,274,1,0.0,0.0036496350364963502,Rural
SD,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2406,0,2260,29,0.0,0.012831858407079646,Urban
SD,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",500,0,371,12,0.0,0.03234501347708895,Urban
SD,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",372,0,370,2,0.0,0.005405405405405406,Urban
SD,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",147,0,101,3,0.0,0.0297029702970297,Urban
TN,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",12839,0,10367,124,0.0,0.011961030191955243,Urban
TN,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",48,0,25,1,0.0,0.04,Urban
TN,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1397,0,1262,13,0.0,0.010301109350237718,Urban
TN,F,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",672,0,514,4,0.0,0.007782101167315175,Urban
TN,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",8975,0,8253,83,0.0,0.010056948988246698,Urban
TN,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1544,0,1540,12,0.0,0.007792207792207792,Urban
TN,O,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",74,0,74,1,0.0,0.013513513513513514,Rural
TN,O,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",370,0,370,3,0.0,0.008108108108108109,Urban
TN,O,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",72,0,72,1,0.0,0.013888888888888888,
TX,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",41757,0,35374,437,0.0,0.01235370611183355,Urban
TX,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",1124,0,1006,14,0.0,0.013916500994035786,Urban
TX,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",3848,0,3128,34,0.0,0.010869565217391304,Urban
TX,F,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",2140,0,1825,24,0.0,0.01315068493150685,Urban
TX,F,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",327,0,295,7,0.0,0.023728813559322035,
TX,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",140,0,137,2,0.0,0.014598540145985401,Rural
TX,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",51988,0,48745,382,0.0,0.00783670120012309,Urban
TX,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",3135,0,2733,20,0.0,0.007317965605561654,Urban
TX,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1391,0,1371,22,0.0,0.016046681254558718,Urban
TX,O,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",2921,0,2593,24,0.0,0.009255688391824142,Urban
TX,O,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",516,0,394,4,0.0,0.01015228426395939,
TX,O,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",1089,0,1061,3,0.0,0.002827521206409048,Rural
TX,O,"Small town high commuting: primary flow 30% or more to a urban cluster of 2,500 to 9,999",47,0,47,1,0.0,0.02127659574468085,Rural
UT,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2714,0,2648,39,0.0,0.01472809667673716,Urban
UT,F,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",33,0,33,2,0.0,0.06060606060606061,
UT,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",319,0,319,5,0.0,0.01567398119122257,Rural
UT,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",12146,0,11376,80,0.0,0.007032348804500703,Urban
UT,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",318,0,318,3,0.0,0.009433962264150943,Urban
UT,O,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",199,0,198,1,0.0,0.005050505050505051,Rural
VA,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",4993,0,4840,91,0.0,0.018801652892561985,Urban
VA,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",119,0,107,1,0.0,0.009345794392523364,Urban
VA,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",122,0,122,1,0.0,0.00819672131147541,Urban
VA,F,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",79,0,79,5,0.0,0.06329113924050633,Urban
VA,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",62,0,62,1,0.0,0.016129032258064516,Rural
VA,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",29381,0,28533,171,0.0,0.005993060666596573,Urban
VA,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",1577,0,1561,3,0.0,0.0019218449711723255,Urban
VA,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",207,0,207,4,0.0,0.01932367149758454,Urban
VA,O,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",1799,0,1736,12,0.0,0.0069124423963133645,Urban
VA,O,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",49,0,49,1,0.0,0.02040816326530612,Rural
VT,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",619,0,619,9,0.0,0.014539579967689823,Urban
VT,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",27,0,27,1,0.0,0.037037037037037035,Urban
VT,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",83,0,83,3,0.0,0.03614457831325301,Urban
VT,F,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",17,0,17,1,0.0,0.058823529411764705,
VT,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",271,0,146,3,0.0,0.02054794520547945,Rural
VT,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",397,0,396,6,0.0,0.015151515151515152,Urban
VT,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",91,0,91,1,0.0,0.01098901098901099,Urban
VT,O,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",89,0,89,1,0.0,0.011235955056179775,Rural
WA,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",9492,0,8140,128,0.0,0.015724815724815724,Urban
WA,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",46,0,46,2,0.0,0.043478260869565216,Urban
WA,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",178,0,138,4,0.0,0.028985507246376812,Urban
WA,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",6708,0,6343,109,0.0,0.017184297650953806,Urban
WA,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",33,0,33,2,0.0,0.06060606060606061,Urban
WA,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",167,0,167,2,0.0,0.011976047904191617,Urban
WI,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",9961,0,9306,182,0.0,0.01955727487642381,Urban
WI,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",26,0,17,1,0.0,0.058823529411764705,Urban
WI,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1037,0,949,17,0.0,0.01791359325605901,Urban
WI,F,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",67,0,67,2,0.0,0.029850746268656716,Rural
WI,F,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",461,0,432,7,0.0,0.016203703703703703,Urban
WI,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",38,0,38,1,0.0,0.02631578947368421,Rural
WI,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",4829,0,4574,71,0.0,0.015522518583296896,Urban
WI,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",378,0,378,4,0.0,0.010582010582010581,Urban
WI,O,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",243,0,243,4,0.0,0.01646090534979424,Urban
WI,O,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",126,0,104,2,0.0,0.019230769230769232,Rural
WV,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2966,0,2834,32,0.0,0.011291460832745237,Urban
WV,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",844,0,841,4,0.0,0.0047562425683709865,Urban
WV,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1111,0,917,7,0.0,0.007633587786259542,Urban
WV,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",65,0,62,1,0.0,0.016129032258064516,Urban
WY,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",568,0,451,6,0.0,0.013303769401330377,Urban
WY,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",189,0,167,7,0.0,0.041916167664670656,Urban
WY,F,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",41,0,41,1,0.0,0.024390243902439025,Rural
WY,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",99,0,88,4,0.0,0.045454545454545456,Rural
WY,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",18,0,18,1,0.0,0.05555555555555555,Urban
WY,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",143,0,143,4,0.0,0.027972027972027972,Urban
WY,O,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",48,0,48,1,0.0,0.020833333333333332,Rural
