Rndrng_Prvdr_Zip5,Rndrng_Prvdr_RUCA_Desc,Total_Providers,Total_Beneficiaries,Avg_Allowed_Amt,Opportunity_Index
02145,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,24,162.92605263,93.463026315
02155,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,38,28.78,66.78
02169,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,28,128.65333333,156.65333333
02180,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3,192,490.47975443200005,227.49325147733336
02184,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,47,447.94214074,247.47107037
02186,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3,107,64.815525032,57.27184167733333
02190,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3,116,76.5164836604,64.17216122013333
02215,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",14,614,124.3644276574,52.74031626124286
02301,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,63,159.61990875175,111.309954375875
02302,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,88,65.61759689933332,76.80879844966665
02356,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,115,124.77692830233332,239.77692830233332
02360,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,251,300.69873314666665,551.6987331466667
02379,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,157,280.16368942,437.16368942
02445,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3,320,166.8102464622222,162.27008215407406
02451,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,171,344.0969147966666,257.5484573983333
02462,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3,262,54.41179088266667,105.47059696088888
02481,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,284,350.49703946,317.24851973
02537,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,27,27.28,54.28
