Rndrng_Prvdr_State_Abrvtn,Urban_Patients,Rural_Patients,Urban_Providers,Rural_Providers,Urban_Patients_per_Provider,Rural_Patients_per_Provider,Gap_Ratio
AL,23,196,2,2,11.5,98.0,8.52
GA,42,276,1,1,42.0,276.0,6.57
AL,15,196,1,2,15.0,98.0,6.53
NC,428,231,12,1,35.67,231.0,6.48
GA,93,276,2,1,46.5,276.0,5.94
